"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 18 19:03:46 GMT 2023","Wed Oct 18 19:03:49 GMT 2023","2972","tests","Elements","TestElements","","","test_forbidden_link_response_code",""
"passed","Wed Oct 18 19:01:48 GMT 2023","Wed Oct 18 19:01:51 GMT 2023","2148","tests","Test Alert Frame Windows","TestAlertFrameWindows","","","test_nested_frame",""
"passed","Wed Oct 18 19:04:28 GMT 2023","Wed Oct 18 19:04:34 GMT 2023","6329","tests","Elements","TestElements","","","test_appear_button",""
"passed","Wed Oct 18 19:03:54 GMT 2023","Wed Oct 18 19:03:56 GMT 2023","1898","tests","Elements","TestElements","","","test_file_upload_check",""
"passed","Wed Oct 18 19:06:21 GMT 2023","Wed Oct 18 19:06:25 GMT 2023","3538","tests","Test Widgets Page","TestWidgetsPage","","","test_select_date",""
"passed","Wed Oct 18 19:05:43 GMT 2023","Wed Oct 18 19:05:46 GMT 2023","3128","tests","Test Interactions Page","TestInteractionsPage","","","test_axis_restricted_y",""
"passed","Wed Oct 18 19:06:44 GMT 2023","Wed Oct 18 19:07:07 GMT 2023","22346","tests","Test Widgets Page","TestWidgetsPage","","","test_origin_tab",""
"passed","Wed Oct 18 19:06:18 GMT 2023","Wed Oct 18 19:06:20 GMT 2023","2244","tests","Test Widgets Page","TestWidgetsPage","","","test_check_entered_date",""
"passed","Wed Oct 18 19:02:12 GMT 2023","Wed Oct 18 19:02:17 GMT 2023","4424","tests","Elements","TestElements","","","test_web_table_add_new_person_and_check_this",""
"passed","Wed Oct 18 19:01:31 GMT 2023","Wed Oct 18 19:01:38 GMT 2023","6831","tests","Test Alert Frame Windows","TestAlertFrameWindows","","","test_alert_appear_5_sec",""
"passed","Wed Oct 18 19:01:55 GMT 2023","Wed Oct 18 19:01:57 GMT 2023","2202","tests","Test Alert Frame Windows","TestAlertFrameWindows","","","test_large_modal_window_text",""
"passed","Wed Oct 18 19:02:03 GMT 2023","Wed Oct 18 19:02:07 GMT 2023","4345","tests","Elements","TestElements","","","test_check_box",""
"passed","Wed Oct 18 19:05:55 GMT 2023","Wed Oct 18 19:06:14 GMT 2023","18508","tests","Test Widgets Page","TestWidgetsPage","","","test_remove_all_colors",""
"passed","Wed Oct 18 19:02:24 GMT 2023","Wed Oct 18 19:02:46 GMT 2023","22821","tests","Elements","TestElements","","","test_web_table_update_person_info",""
"passed","Wed Oct 18 19:07:08 GMT 2023","Wed Oct 18 19:07:10 GMT 2023","1978","tests","Test Widgets Page","TestWidgetsPage","","","test_use_tab",""
"skipped","Wed Oct 18 19:07:33 GMT 2023","Wed Oct 18 19:08:10 GMT 2023","36396","tests","Test Widgets Page","TestWidgetsPage","","","test_menu_tabs_and_subtabs",""
"passed","Wed Oct 18 19:05:51 GMT 2023","Wed Oct 18 19:05:54 GMT 2023","3162","tests","Test Widgets Page","TestWidgetsPage","","","test_fill_multi_auto_complete",""
"passed","Wed Oct 18 19:06:26 GMT 2023","Wed Oct 18 19:06:30 GMT 2023","4471","tests","Test Widgets Page","TestWidgetsPage","","","test_select_date_and_time",""
